MN_No,MA_No,N_True_Pairs,N_Soft_Pairs,N_Formulaic_Chunks,Divergence_Index,Dominant_Type,N_SEMANTIC_DRIFT,N_OMISSION,N_ADDITION,N_PARALLEL,N_UNCERTAIN,N_High_Div,Pct_High_Div,Has_Formulaic_Omission,Formulaic_Severity,Compression_Ratio,Mean_Emb_Sim,Mean_Lex,Mean_Missing_Term,Mean_Len_Asym,Top_Missing_Terms
119,98,0,39,31,0.7504,FORMULAIC_OMISSION,18,17,0,0,4,25,64.1,True,HEAVY,5.81,0.3042,0.0683,0.8167,1.437,bhikkhu|hoti|tassa|seyyathapi|puna
49,78,28,15,0,0.75,SEMANTIC_DRIFT,20,18,0,0,5,24,55.8,False,NONE,0.0,0.3009,0.0183,0.7914,1.75,bhikkhu|aham|tvam|taya|sace
52,217,8,20,0,0.749,OMISSION,7,16,0,1,4,17,60.7,False,NONE,0.0,0.2975,0.0347,0.7874,1.982,gahapati|bhikkhu|tena|kinci|pajanati
28,30,3,48,6,0.7488,SEMANTIC_DRIFT,24,20,0,1,6,35,68.6,True,EXTREME,54.41,0.2658,0.0325,0.8236,1.396,avuso|hoti|tassa|bahira|upekkha
96,150,24,25,0,0.7477,SEMANTIC_DRIFT,22,21,0,0,6,32,65.3,False,NONE,0.0,0.3119,0.0055,0.832,1.472,brahmana|hoti|gotama|cepi|pativirato
125,198,31,28,0,0.7475,OMISSION,14,34,0,1,10,40,67.8,False,NONE,0.0,0.2772,0.011,0.7687,2.086,bhikkhu|tvam|hoti|samma|tamenam
32,184,34,29,0,0.7471,OMISSION,24,31,0,1,7,39,61.9,False,NONE,0.0,0.3028,0.0429,0.7955,1.733,avuso|sariputta|ayasma|etadavoca|bhikkhu
130,64,34,25,0,0.7461,OMISSION,17,25,0,1,16,38,64.4,False,NONE,0.0,0.2624,0.0107,0.7428,1.78,tassa|tamenam|ambho|purisa|evamaha
22,200,42,64,0,0.7454,OMISSION,33,60,0,2,11,71,67.0,False,NONE,0.0,0.3069,0.0603,0.7959,2.06,bhikkhu|bhante|bhagava|dhamma|idha
27,146,33,32,0,0.7428,OMISSION,23,33,0,2,7,44,67.7,False,NONE,0.0,0.3132,0.029,0.8289,1.937,hoti|brahmana|bhagava|bhagavata|pahaya
54,203,34,31,0,0.7414,OMISSION,16,40,0,1,8,38,58.5,False,NONE,0.0,0.2671,0.0332,0.7426,2.029,gahapati|ariyasavako|bhante|assam|bhagava
123,32,22,16,0,0.738,OMISSION,18,18,0,0,2,19,50.0,False,NONE,0.0,0.3443,0.0418,0.7978,1.548,bhante|bhagavato|ananda|hoti|avuso
108,145,48,10,0,0.7376,OMISSION,9,40,0,6,3,39,67.2,False,NONE,0.0,0.2929,0.0443,0.7394,2.24,brahmana|viharati|brahmano|tena|bhagava
134,166,16,2,0,0.737,OMISSION,3,13,0,2,0,13,72.2,False,NONE,0.0,0.2791,0.0501,0.8261,2.484,bhikkhu|tvam|bhagava|aham|ayasma
8,91,3,19,36,0.7306,FORMULAIC_OMISSION,6,11,0,2,3,13,59.1,True,EXTREME,28.69,0.3072,0.0146,0.7824,2.048,hoti|cunda|purisapuggalassa|parinibbanaya|bhikkhu
101,19,7,61,60,0.7278,FORMULAIC_OMISSION,27,25,0,6,10,44,64.7,True,EXTREME,20.84,0.317,0.0583,0.81,1.39,avuso|sace|satta|sukhadukkham|patisamvedenti
143,28,26,15,0,0.7272,SEMANTIC_DRIFT,20,13,0,1,7,23,56.1,False,NONE,0.0,0.3071,0.0203,0.777,1.372,gahapati|evanhi|sikkhitabbam|bhavissati|upadiyissami
68,77,19,32,0,0.7267,SEMANTIC_DRIFT,24,23,0,0,4,24,47.1,False,NONE,0.0,0.3538,0.0314,0.7927,1.568,hoti|cittam|tassa|bhagavata|ahosi
14,100,3,38,6,0.7267,OMISSION,14,18,0,1,8,21,51.2,True,HEAVY,7.49,0.3116,0.0212,0.7453,1.591,hetu|avuso|ayampi|yena|tumhe
80,209,26,5,0,0.7261,OMISSION,6,20,0,0,5,20,64.5,False,NONE,0.0,0.2799,0.0056,0.7359,1.978,kaccana|katamo|ayam|mannasi|tvam
47,186,11,5,6,0.7252,OMISSION,5,9,0,0,2,8,50.0,True,EXTREME,14.84,0.3305,0.0688,0.737,1.94,samvijjanti|dhamma|bhikkhu|cakkhusotavinneyya|tathagatassa
65,194,35,43,0,0.7243,OMISSION,35,36,0,2,5,37,47.4,False,NONE,0.0,0.3385,0.0583,0.7874,1.706,bhikkhu|hoti|tassa|bhante|bhaddali
15,89,2,23,53,0.7222,FORMULAIC_OMISSION,8,8,0,0,9,12,48.0,True,EXTREME,43.77,0.2998,0.103,0.7115,1.458,bhikkhu|sace|khomhi|avuso|puna
136,171,28,23,0,0.7197,OMISSION,12,27,0,2,10,28,54.9,False,NONE,0.0,0.3333,0.0298,0.7523,2.019,kayassa|param|idha|hoti|kira
20,101,7,16,8,0.7192,SEMANTIC_DRIFT,16,6,0,0,1,5,21.7,True,EXTREME,28.65,0.3559,0.0704,0.8057,1.355,papaka|tassa|akusala|tesam|abbhattham
6,105,2,10,15,0.7173,FORMULAIC_OMISSION,8,3,0,0,1,5,41.7,True,EXTREME,23.07,0.2987,0.1234,0.7715,1.402,bhikkhu|akankheyya|silesvevassa|paripurakari|bruheta
142,180,19,10,0,0.7172,OMISSION,5,19,0,0,5,21,72.4,False,NONE,0.0,0.3111,0.0378,0.7765,2.258,dakkhina|bhagavantam|bhante|agamma|hoti
18,115,10,44,0,0.7156,OMISSION,17,24,0,2,11,29,53.7,False,NONE,0.0,0.3295,0.0536,0.7678,1.601,bhagava|bhikkhu|avuso|bhagavata|vijjati
7,93,12,20,0,0.7145,OMISSION,3,23,0,5,1,25,78.1,False,NONE,0.0,0.3315,0.0616,0.7977,2.593,hoti|cittassa|viditva|bhagavato|bhikkhu
122,191,28,27,0,0.7114,SEMANTIC_DRIFT,24,23,0,1,7,26,47.3,False,NONE,0.0,0.36,0.0603,0.7735,1.591,tassa|bhikkhu|cittam|hoti|tattha
5,87,17,54,0,0.711,SEMANTIC_DRIFT,36,18,0,5,12,37,52.1,False,NONE,0.0,0.2771,0.0389,0.734,1.142,avuso|bhikkhu|vijjati|ceva|hoti
106,75,19,10,0,0.711,OMISSION,7,15,0,2,5,13,44.8,False,NONE,0.0,0.3547,0.0726,0.734,2.116,bhikkhu|tassa|ariyasavako|etarahi|kayassa
137,163,6,39,0,0.7109,OMISSION,18,18,0,0,9,21,46.7,False,NONE,0.0,0.3243,0.0366,0.7419,1.275,hoti|vuttam|paticca|ceva|vuccati
24,9,24,25,0,0.7102,OMISSION,9,25,0,2,13,31,63.3,False,NONE,0.0,0.2843,0.0234,0.6819,2.253,avuso|ayasma|panavuso|bhagava
121,190,3,35,0,0.7086,OMISSION,4,24,0,1,9,21,55.3,False,NONE,0.0,0.2861,0.054,0.6654,1.975,paticca|pajanati|tassa|cittam|bhikkhu
45,174,7,22,0,0.7081,SEMANTIC_DRIFT,14,10,0,0,5,14,48.3,False,NONE,0.0,0.2787,0.0176,0.6879,1.465,samanabrahmana|dukkha|vedana|ayatinca
78,179,5,26,13,0.706,OMISSION,6,14,1,0,10,14,45.2,True,HEAVY,9.24,0.3065,0.019,0.6657,1.236,thapati|pancakango|hoti|samanam|sila
138,164,3,48,6,0.7055,SEMANTIC_DRIFT,24,16,0,3,8,24,47.1,True,EXTREME,15.39,0.3381,0.0895,0.7753,1.329,hoti|avuso|bhikkhu|tassa|bahiddha
115,181,7,24,6,0.7041,OMISSION,11,14,0,0,6,15,48.4,True,HEAVY,5.7,0.3613,0.0527,0.6952,1.857,bhikkhu|vijjati|pajanati|bhante|yato
64,205,21,16,0,0.6983,OMISSION,14,15,0,1,7,16,43.2,False,NONE,0.0,0.3147,0.0582,0.7396,1.694,viharati|patipada|hoti|tassa|samyojananam
139,169,10,46,0,0.6963,SEMANTIC_DRIFT,20,19,0,5,12,22,39.3,False,NONE,0.0,0.3447,0.0354,0.6928,1.273,dhammo|paticca|vuttam|hoti|bhikkhu
141,31,14,17,0,0.6953,SEMANTIC_DRIFT,14,10,0,0,7,14,45.2,False,NONE,0.0,0.3775,0.0556,0.7439,1.226,ayam|avuso|bhikkhu|katamo|arahata
11,103,2,15,19,0.6913,FORMULAIC_OMISSION,7,3,0,0,7,7,41.2,True,EXTREME,13.84,0.2988,0.0621,0.6667,1.523,panavuso|samana|brahmana|yathabhutam|samanabrahmana
2,10,8,36,0,0.6903,OMISSION,8,22,0,3,11,19,43.2,False,NONE,0.0,0.3108,0.0721,0.667,1.932,bhikkhu|honti|idha|dhamma|viharati
104,196,29,26,0,0.6897,OMISSION,17,24,0,3,11,24,43.6,False,NONE,0.0,0.3396,0.0601,0.6839,1.483,hoti|bhikkhu|bhante|aham|avuso
3,88,8,22,0,0.6866,SEMANTIC_DRIFT,12,11,0,2,5,11,36.7,False,NONE,0.0,0.3488,0.0721,0.7468,1.118,bhikkhu|savaka|avuso|sattha|dhamme
46,175,1,9,52,0.68,FORMULAIC_OMISSION,4,2,0,0,4,2,20.0,True,EXTREME,20.59,0.2766,0.0143,0.5554,0.741,hoti|sukhena|sukham|somanassam|bhagava
40,183,4,15,11,0.6726,FORMULAIC_OMISSION,4,9,0,1,5,7,36.8,True,EXTREME,12.63,0.3002,0.1005,0.5829,1.771,vadami|hoti|maya|bhikkhu
63,221,8,22,8,0.665,OMISSION,7,8,0,6,9,12,40.0,True,EXTREME,23.56,0.3643,0.0514,0.6432,1.436,hoti|bhagava|tathagato|param|imam
9,29,6,39,30,0.6644,FORMULAIC_OMISSION,6,19,0,4,16,22,48.9,True,EXTREME,13.45,0.3189,0.055,0.6246,1.653,avuso|patipada|hoti|panavuso|pajanati
69,26,8,22,0,0.6464,OMISSION,5,6,0,8,11,8,26.7,False,NONE,0.0,0.3427,0.0805,0.5631,1.488,avuso|bhikkhu|sace|hoti|tassa
113,85,3,26,27,0.6425,FORMULAIC_OMISSION,2,8,0,0,19,7,24.1,True,EXTREME,26.69,0.2704,0.0341,0.4149,1.506,ayampi|hoti|bhikkhu|puna|caparam
81,63,26,38,0,0.6413,OMISSION,12,19,0,3,30,16,25.0,False,NONE,0.0,0.3356,0.0399,0.5721,1.142,bhagava|bhagavato|bhagavantam|etadavoca|bhante
1,106,1,8,30,0.6065,FORMULAIC_OMISSION,1,4,0,0,4,4,44.4,True,EXTREME,21.82,0.2921,0.0356,0.5621,2.245,tassa|kissa|hetu|sanjanati|mannati
