MN_No,MA_No,Sutta_Name_EN,Sutta_Name_VI,Divergence_Index,Dominant_Type,N_True_Pairs,N_Soft_Pairs,N_Formulaic_Chunks,Formulaic_Severity,Compression_Ratio,N_OMISSION,N_SEMANTIC_DRIFT,N_ADDITION,Mean_Emb_Sim,Mean_Lex,Key_Missing_Terms,Worst_Pali,Worst_Han,Worst_Emb,Summary
61,14,Ambalaṭṭhikārāhulovāda,Kinh Giáo Giới La-hầu-la,0.8099,OMISSION,24,20,0,NONE,0.0,40,2,0,0.2013,0.0052,aham|tvam|sace|paccavekkhamano|evarupam,tena kho pana samayena āyasmā rāhulo ambalaṭṭhikāyaṃ viharati,爾時 尊者羅云亦遊王舍城溫泉林中 於是 世尊過夜平旦 著衣持鉢入王舍城而行乞食 乞食已竟 至溫泉林羅云住處 尊者羅云遙見佛來 即便往迎 取佛衣鉢 為敷,0.0965,"MA lược bỏ 40 đoạn. Thiếu: aham, tvam, sace, paccavekkhamano."
56,133,Upāli Sutta,Kinh Ưu-bà-li,0.8169,OMISSION,97,4,0,NONE,0.0,80,18,0,0.1728,0.0058,bhante|gahapati|etadavoca|bhagava|yena,seyyathāpi nāma kuñjaro saṭṭhihāyano gambhīraṃ pokkharaṇiṃ ogāhetvā sāṇadhovikaṃ nāma kīḷitajātaṃ kīḷati,優婆離居士語曰 瞿曇 若共長苦行尼揵有所論者 盡為我說 若我聞已 或能知之 於是 世尊共長苦行尼揵有所論者 盡向彼說,0.0335,"MA lược bỏ 80 đoạn. Thiếu: bhante, gahapati, etadavoca, bhagava."
44,210,Cūḷavedalla Sutta,Kinh Tiểu Phân Biệt,0.771,OMISSION,41,4,0,NONE,0.0,38,5,0,0.266,0.0441,avuso|hoti|katamo|bhagavata|ayam,katamo panāyye samādhi katame dhammā samādhinimittā katame dhammā samādhiparikkhārā katamā samādhibhāvanā ti,法樂比丘尼答曰 滅無對也,0.1249,"MA lược bỏ 38 đoạn. Thiếu: avuso, hoti, katamo, bhagavata."
7,93,Vattha Sutta,Kinh Vải,0.7145,OMISSION,12,20,0,NONE,0.0,23,3,0,0.2433,0.0461,hoti|cittassa|viditva|bhagavato|bhikkhu,aññataro kho panāyasmā bhāradvājo arahataṃ ahosīti,佛說如是 好首水淨梵志及諸比丘 聞佛所說 歡喜奉行,0.041,"MA lược bỏ 23 đoạn. Thiếu: hoti, cittassa, viditva, bhagavato."
123,32,Acchariyabbhuta Sutta,Kinh Hy Hữu Vị Tằng Hữu,0.738,OMISSION,22,16,0,NONE,0.0,18,18,0,0.1981,0.0211,bhante|bhagavato|ananda|hoti|avuso,ayamantimā jāti natthi dāni punabbhavo ti,我聞世尊一時遊鞞舍離大林之中 爾時 諸比丘置鉢露地 時 世尊鉢亦在其中 有一獼猴持佛鉢去 諸比丘訶 恐破佛鉢 佛告諸比丘 止 止 莫訶 不破鉢也 時 彼獼猴持佛鉢去 至一娑羅樹 徐徐上樹 於娑羅樹上取蜜滿鉢 徐徐下樹 還詣佛所 即以蜜鉢奉上世尊 世尊不受 時 彼獼猴却在一面 取,0.1084,"MA lược bỏ 18 đoạn. Thiếu: bhante, bhagavato, ananda, hoti."
